Logging to /home/knagiredla/robonet/logs/exp_GSCA_10_flat_base_hopper_300_000_134_1729465432/policies
time_steps 114000
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
env.observation_space Box(-inf, inf, (57,), float64)
self.keys, shapes, dtypes [None] {None: (57,)} {None: dtype('float64')}
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 8.71     |
|    ep_rew_mean     | 5.84     |
| time/              |          |
|    fps             | 1313     |
|    iterations      | 1        |
|    time_elapsed    | 1        |
|    total_timesteps | 2048     |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 8.43         |
|    ep_rew_mean          | 6.39         |
| time/                   |              |
|    fps                  | 1075         |
|    iterations           | 2            |
|    time_elapsed         | 3            |
|    total_timesteps      | 4096         |
| train/                  |              |
|    approx_kl            | 0.0005835658 |
|    clip_fraction        | 0.00151      |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.1         |
|    explained_variance   | -0.0129      |
|    learning_rate        | 0.0001       |
|    loss                 | 8.36         |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.00334     |
|    std                  | 1            |
|    value_loss           | 17.6         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 8.71         |
|    ep_rew_mean          | 6.18         |
| time/                   |              |
|    fps                  | 1015         |
|    iterations           | 3            |
|    time_elapsed         | 6            |
|    total_timesteps      | 6144         |
| train/                  |              |
|    approx_kl            | 0.0005088403 |
|    clip_fraction        | 0.000781     |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.1         |
|    explained_variance   | 0.048        |
|    learning_rate        | 0.0001       |
|    loss                 | 5.57         |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.00202     |
|    std                  | 1            |
|    value_loss           | 11.9         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 8.29         |
|    ep_rew_mean          | 6.26         |
| time/                   |              |
|    fps                  | 987          |
|    iterations           | 4            |
|    time_elapsed         | 8            |
|    total_timesteps      | 8192         |
| train/                  |              |
|    approx_kl            | 0.0005890572 |
|    clip_fraction        | 0.00288      |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.1         |
|    explained_variance   | 0.0498       |
|    learning_rate        | 0.0001       |
|    loss                 | 5.38         |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.00218     |
|    std                  | 1            |
|    value_loss           | 11.4         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 8.51         |
|    ep_rew_mean          | 6.51         |
| time/                   |              |
|    fps                  | 972          |
|    iterations           | 5            |
|    time_elapsed         | 10           |
|    total_timesteps      | 10240        |
| train/                  |              |
|    approx_kl            | 0.0004974017 |
|    clip_fraction        | 0.000781     |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.1         |
|    explained_variance   | 0.0805       |
|    learning_rate        | 0.0001       |
|    loss                 | 6.81         |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.00206     |
|    std                  | 1            |
|    value_loss           | 14.3         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 8.7          |
|    ep_rew_mean          | 6.51         |
| time/                   |              |
|    fps                  | 961          |
|    iterations           | 6            |
|    time_elapsed         | 12           |
|    total_timesteps      | 12288        |
| train/                  |              |
|    approx_kl            | 0.0005937486 |
|    clip_fraction        | 0.00288      |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.11        |
|    explained_variance   | 0.148        |
|    learning_rate        | 0.0001       |
|    loss                 | 5.48         |
|    n_updates            | 50           |
|    policy_gradient_loss | -0.00236     |
|    std                  | 1            |
|    value_loss           | 11.7         |
